date,STATION_NUMBER,flow_cms,quality_symbol
2008-01-01,04LA006,0.5659999847412109,
2008-02-01,04LA006,0.6309999823570251,
2008-03-01,04LA006,0.44200000166893005,
2008-04-01,04LA006,0.41999998688697815,
2008-05-01,04LA006,6.53000020980835,
2008-06-01,04LA006,3.2799999713897705,
2008-07-01,04LA006,0.8920000195503235,
2008-08-01,04LA006,0.890999972820282,
2008-09-01,04LA006,0.3779999911785126,
2008-10-01,04LA006,0.3370000123977661,
2008-11-01,04LA006,0.2450000047683716,
2008-12-01,04LA006,0.4429999887943268,
2009-01-01,04LA006,0.8130000233650208,
2009-02-01,04LA006,0.49399998784065247,
2009-03-01,04LA006,0.4779999852180481,
2009-04-01,04LA006,0.5450000166893005,
2009-05-01,04LA006,7.46999979019165,
2009-06-01,04LA006,2.569999933242798,
2009-07-01,04LA006,2.069999933242798,
2009-08-01,04LA006,0.8399999737739563,
2009-09-01,04LA006,0.5590000152587891,
2009-10-01,04LA006,0.4900000095367432,E
2009-11-01,04LA006,1.850000023841858,
2009-12-01,04LA006,0.9120000004768372,
2010-01-01,04LA006,0.675000011920929,B
2010-02-01,04LA006,0.479999989271164,B
2010-03-01,04LA006,0.5379999876022339,
2010-04-01,04LA006,0.6150000095367432,
2010-05-01,04LA006,0.6330000162124634,
2010-06-01,04LA006,0.40400001406669617,
2010-07-01,04LA006,0.239999994635582,E
2010-08-01,04LA006,0.2840000092983246,
2010-09-01,04LA006,0.25600001215934753,
2010-10-01,04LA006,1.3600000143051147,
2010-11-01,04LA006,0.6790000200271606,
2010-12-01,04LA006,1.0499999523162842,
2011-01-01,04LA006,0.7260000109672546,
2011-02-01,04LA006,0.4659999907016754,B
2011-03-01,04LA006,0.4269999861717224,B
2011-04-01,04LA006,0.4189999997615814,
2011-05-01,04LA006,5.300000190734863,
2011-06-01,04LA006,1.9299999475479128,
2011-07-01,04LA006,2.009999990463257,
2011-08-01,04LA006,0.4909999966621399,
2011-09-01,04LA006,0.20999999344348907,
2011-10-01,04LA006,0.2070000022649765,
2011-11-01,04LA006,0.5529999732971191,
2011-12-01,04LA006,0.9739999771118164,
2012-01-01,04LA006,0.8859999775886536,B
2012-02-01,04LA006,0.6370000243186951,
2012-03-01,04LA006,0.5099999904632568,
2012-04-01,04LA006,3.660000085830689,
2012-05-01,04LA006,1.590000033378601,
2012-06-01,04LA006,0.39899998903274536,
2012-07-01,04LA006,0.23600000143051147,
2012-08-01,04LA006,0.2169999927282333,
2012-09-01,04LA006,0.1710000038146973,
2012-10-01,04LA006,0.2179999947547913,
2012-11-01,04LA006,0.8970000147819519,
2012-12-01,04LA006,0.7269999980926514,B
2013-01-01,04LA006,0.6579999923706055,B
2013-02-01,04LA006,0.3849999904632568,B
2013-03-01,04LA006,0.28200000524520874,B
2013-04-01,04LA006,0.28299999237060547,B
2013-05-01,04LA006,4.480000019073486,
2013-06-01,04LA006,2.9600000381469727,
2013-07-01,04LA006,0.7379999756813049,
2013-08-01,04LA006,0.34299999475479126,
2013-09-01,04LA006,0.5339999794960022,
2013-10-01,04LA006,0.5400000214576721,
2013-11-01,04LA006,1.0800000429153442,
2013-12-01,04LA006,1.6299999952316284,
2014-01-01,04LA006,0.7559999823570251,B
2014-02-01,04LA006,0.5329999923706055,B
2014-03-01,04LA006,0.3709999918937683,B
2014-04-01,04LA006,0.3720000088214874,
2014-05-01,04LA006,2.7100000381469727,
2014-06-01,04LA006,2.140000104904175,
2014-07-01,04LA006,0.40400001406669617,
2014-08-01,04LA006,0.2750000059604645,
2014-09-01,04LA006,1.090000033378601,
2014-10-01,04LA006,1.2999999523162842,
2014-11-01,04LA006,3.4800000190734863,
2014-12-01,04LA006,2.109999895095825,E
2017-01-01,04LA006,0.6449999809265137,E
2017-02-01,04LA006,0.5249999761581421,
2017-03-01,04LA006,0.7049999833106995,
2017-04-01,04LA006,0.6970000267028809,
2017-05-01,04LA006,4.0,
2017-06-01,04LA006,1.690000057220459,
2017-07-01,04LA006,1.2899999618530271,
2017-08-01,04LA006,0.4180000126361847,
2017-09-01,04LA006,1.0299999713897705,
2017-10-01,04LA006,0.4370000064373016,
2017-11-01,04LA006,2.3299999237060547,
2017-12-01,04LA006,1.2999999523162842,
2018-01-01,04LA006,0.9039999842643738,B
2018-02-01,04LA006,0.6019999980926514,B
2018-03-01,04LA006,0.4749999940395355,B
2018-04-01,04LA006,0.39500001072883606,B
2018-05-01,04LA006,1.0299999713897705,
2018-06-01,04LA006,1.809999942779541,
2018-07-01,04LA006,1.25,
2018-08-01,04LA006,0.4589999914169312,
2018-09-01,04LA006,0.289000004529953,
2018-10-01,04LA006,0.7239999771118164,
2018-11-01,04LA006,1.9800000190734863,
2018-12-01,04LA006,1.0199999809265137,B
2019-01-01,04LA006,0.6079999804496765,B
2019-02-01,04LA006,0.5059999823570251,B
2019-03-01,04LA006,0.4779999852180481,B
2019-04-01,04LA006,0.527999997138977,B
2019-05-01,04LA006,10.199999809265137,
2019-06-01,04LA006,3.289999961853028,
2019-07-01,04LA006,1.2899999618530271,
2019-08-01,04LA006,0.3470000028610229,
2019-09-01,04LA006,0.26100000739097595,
2019-10-01,04LA006,0.2939999997615814,
2019-11-01,04LA006,0.4429999887943268,
2019-12-01,04LA006,0.703000009059906,B
2020-01-01,04LA006,0.6549999713897705,
2020-02-01,04LA006,0.578000009059906,
2020-03-01,04LA006,0.5450000166893005,
2020-04-01,04LA006,0.7170000076293945,
2020-05-01,04LA006,3.7699999809265137,
2020-06-01,04LA006,1.7000000476837158,
2020-07-01,04LA006,0.8289999961853027,
2020-08-01,04LA006,0.4009999930858612,
2020-09-01,04LA006,0.3050000071525574,
2020-10-01,04LA006,0.9539999961853028,
2020-11-01,04LA006,2.309999942779541,
2020-12-01,04LA006,1.7400000095367432,
2021-01-01,04LA006,0.7440000176429749,
2021-02-01,04LA006,0.5040000081062317,
2021-03-01,04LA006,0.3639999926090241,B
2021-04-01,04LA006,1.2100000381469729,
