STATION_NUMBER,REMARK_TYPE_CODE,YEAR,REMARK_EN,REMARK_FR
06LC001,2,1997,WATER LEVEL AND OPEN WATER DISCHARGES PRODUCED ARE CONSIDERED GOOD. DISCHARGES PRODUCED DURING BREAK-UP/FREEZE UP AND WINTER ARE CONSIDERED POOR.,DONNEES DU NIVEAU D'EAU ET DEBIT DURANT PERIODE D'EAUX LIBRES CONSIDEREES BONNES. DONNEES DU DEBIT OBTENUES DURANT PERIODES DE DEBACLE ET DE GEL ET EN HIVER CONSIDEREES MAUVAISES.
06LC001,2,1998,WATER LEVEL AND OPEN WATER DISCHARGES PRODUCED ARE CONSIDERED GOOD. DISCHARGES PRODUCED DURING BREAK-UP/FREEZE UP AND WINTER ARE CONSIDERED POOR.,DONNEES DU NIVEAU D'EAU ET DEBIT DURANT PERIODE D'EAUX LIBRES CONSIDEREES BONNES. DONNEES DU DEBIT OBTENUES DURANT PERIODES DE DEBACLE ET DE GEL ET EN HIVER CONSIDEREES MAUVAISES.
06LC001,2,1999,DISCHARGE MEASUREMENTS APR27/98-MAR03/99 CONSIDERED POOR.,MESURES DE DEBIT DU 27 AVR 1998 AU 3 MARS 1999 CONSIDEREES MAUVAISES.
06LC001,2,2000,OPEN WATER DATA CONSIDERED GOOD. WINTER DISCHARGES CONSIDERED FAIR.,DONNEES DURANT PERIODE D'EAUX LIBRES CONSIDERES BONNES. DEBITS EN HIVER CONSIDERES SATISFAISANTS.
06LC001,2,2001,OPEN WATER DATA CONSIDERED GOOD. WINTER DISCHARGES CONSIDERED FAIR.,DONNEES DURANT PERIODE D'EAUX LIBRES CONSIDERES BONNES. DEBITS EN HIVER CONSIDERES SATISFAISANTS.
06LC001,2,2002,OPEN WATER DATA CONSIDERED GOOD. WINTER DISCHARGES CONSIDERED FAIR.,DONNEES DURANT PERIODE D'EAUX LIBRES CONSIDERES BONNES. DEBITS EN HIVER CONSIDERES SATISFAISANTS.
06LC001,2,2003,OPEN WATER DATA CONSIDERED GOOD. WINTER DISCHARGES CONSIDERED FAIR.,DONNEES DURANT PERIODE D'EAUX LIBRES CONSIDERES BONNES. DEBITS EN HIVER CONSIDERES SATISFAISANTS.
06LC001,2,2004,OPEN WATER DATA CONSIDERED GOOD. WINTER DISCHARGES CONSIDERED FAIR.,DONNEES DURANT PERIODE D'EAUX LIBRES CONSIDERES BONNES. DEBITS EN HIVER CONSIDERES SATISFAISANTS.
06LC001,2,2005,OPEN WATER DATA CONSIDERED GOOD. WINTER DISCHARGES CONSIDERED FAIR.,DONNEES DURANT PERIODE D'EAUX LIBRES CONSIDEREES BONNES. DEBITS EN HIVER CONSIDERES SATISFAISANTS.
06LC001,2,2006,THE FLOWS FROM SEPT 11 TO OCT 16 ARE ESTIMATES CURVE UNDEFINED AT THIS STAGE.,LES DEBITS DU 11 SEPTEMBRE AU 16 OCTOBRE SONT DES ESTIMATIONS; COURBE NON DEFINIE A CE STADE
06LC001,2,2007,FLOWS PRODUCED DURING SPRING BREAKUP AND WINTER PERIODS SHOULD BE USED WITH DISCRETION.,LES DEBITS ATTEINTS PENDANT LES PERIODES DE DEGLACEMENT PRINTANIER ET D'HIVER DOIVENT ETRE UTILISES AVEC CIRCONSPECTION
06LC001,2,2008,FLOWS PRODUCED DURING SPRING BREAKUP AND WINTER PERIODS SHOULD BE USED WITH DISCRETION.,LES DEBITS ATTEINTS PENDANT LES PERIODES DE DEGLACEMENT PRINTANIER ET D'HIVER DOIVENT ETRE UTILISES AVEC CIRCONSPECTION
06LC001,2,2009,2009 FLOWS PRODUCED DURING SPRING BREAKUP AND WINTER PERIODS SHOULD BE USED WITH DISCRETION.,LES DEBITS ATTEINTS PENDANT LES PERIODES DE DEGLACEMENT PRINTANIER ET D'HIVER DOIVENT ETRE UTILISES AVEC CIRCONSPECTION.
