STATION_NUMBER,REMARK_TYPE_CODE,YEAR,REMARK_EN,REMARK_FR
02ZL005,2,1998,"THE ""E"" FOR DISCHARGES ABOVE 4.78 M3/S DUE TO CURVE EXTENSION.","LE < E > POUR LES DEBITS SUPERIEURS A 4,78 M3/S INDIQUE UN PROLONGEMENT DE LA COURBE."
02ZL005,2,1999,"AFTER OCT 14, THE ""E"" FOR DISCHARGES ABOVE 1.35 M3/S IS DUE TO CURVE EXTENSION.","APRES 14 OCT, LE < E > POUR LES DEBITS SUPERIEURS A 1,35 M3/S INDIQUE UN PROLONGEMENT DE LA COURBE."
02ZL005,2,2000,"THE ""E"" FOR DISCHARGES ABOVE 1.35 M3/S IS DUE TO CURVE EXTENSION.","LE < E > POUR LES DEBITS SUPERIEURS A 1,35 M3/S INDIQUE UN PROLONGEMENT DE LA COURBE."
02ZL005,2,2001,"THE ""E"" FOR DISCHARGES ABOVE 5.00 M3/S IS DUE TO CURVE EXTENSION.","LE < E > POUR LES DEBITS SUPERIEURS A 5,00 M3/S INDIQUE UN PROLONGEMENT DE LA COURBE."
02ZL005,2,2003,"THE ""E"" FOR DISCHARGES ABOVE 5.00 M3/S IS DUE TO CURVE EXTENSION.","LE < E > POUR LES DEBITS SUPERIEURS A 5,00 M3/S INDIQUE UN PROLONGEMENT DE LA COURBE."
02ZL005,2,2008,THE E FOR DISCHARGES ABOVE 10.8 CMS ARE DUE TO CURVE EXTENSION.,"LES ESTIMATIONS DES DEBITS SUPERIEURS A 10,8 CM SONT DUES AU PROLONGEMENT DE LA COURBE"
02ZL005,2,2009,2009 THE E FOR DISCHARGES ABOVE 2.64 CMS ARE DUE TO CURVE EXTENSION.,"L'ESTIMATION DE DEBIT DE PLUS DE 2,64 CMS EST ATTRIBUABLE AU PROLONGEMENT DE LA COURBE."
02ZL005,2,2010,2010 THE E FOR DISCHARGES ABOVE 2.64 CMS AND BELOW 0.076 CMS ARE DUE TO CURVE EXTENSION.,"L'ESTIMATION DE DEBIT DE PLUS DE 2,64 CMS EST ATTRIBUABLE AU PROLONGEMENT DE LA COURBE."
02ZL005,2,2012,"THE ""E"" FOR DISCHARGES ABOVE 2.24 CMS IS DUE TO CURVE EXTENSION.",
02ZL005,2,2013,"THE ""E"" FOR DISCHARGES ABOVE 2.24 CMS IS DUE TO CURVE EXTENSION.",
02ZL005,2,2014,"MAX. INST. DISCHARGE NOT VALID- OCCURRED DURING BACKWATER CONDITIONS
THE ""E"" FOR DISCHARGES BELOW 0.026 CMS IS DUE TO CURVE EXTENSION.
MAX. DAILY WATER LEVEL NOT VALID- MISSING DATA",
02ZL005,2,2016,"THE ""E"" FOR DISCHARGES BELOW 0.041 CMS IS DUE TO CURVE EXTENSION.",
02ZL005,2,2018,"THE 'E' FOR DISCHARGES ON MAY 31ST ARE DUE TO RATING CURVE EXTENSION.

",
02ZL005,2,2021,THE 'E' FOR DISCHARGE ON APRIL 11th AND 12th ARE DUE TO RATING CURVE EXTENSION.,
02ZL005,2,2022,"WATER LEVEL UNAVAILABLE FOR THE PERIOD DEC 12-31- EQUIPMENT MALFUNCTION.
THE 'E' FOR DISCHARGES ON JAN 30-31 AND FEB 19 IS DUE TO RATING CURVE EXTENSION.",
02ZL005,4,-999,PUBLISHED AS STATION NO. 02ZJ003 IN 1985,DONNEES PUBLIEES SOUS STATION NO. 02ZJ003 EN 1985
